species,common_name,homerange,n_ind,kfin,r_fin,iucn_category,length,diet_troph3,Class,demers_pelag,family,movement_keyword,geog_range,m_fin
Merluccius australis,NA,NA,NA,458081.84227559145,0.05642528517,NA,155,4.435308019406529,Actinopteri,benthopelagic,Merlucciidae,migratory,1232500,3
Merluccius bilinearis,NA,NA,NA,492540.18622836866,0.1541903885,NT,76,4.49,Actinopteri,demersal,Merlucciidae,migratory,925000,3
Merluccius capensis,NA,NA,NA,5521057.482983036,0.1379804558,LC,140,3.9028752120800334,Actinopteri,bathydemersal,Merlucciidae,migratory,535000,3
Merluccius gayi,NA,NA,NA,279572.6602870814,0.418,NA,87,4.26,Actinopteri,bathydemersal,Merlucciidae,migratory,465000,3
Merluccius hubbsi,NA,NA,NA,4226135.199459606,0.2270290358,NA,95,4.2298076376313904,Actinopteri,benthopelagic,Merlucciidae,migratory,1412500,3
Merluccius merluccius,NA,NA,NA,185465.22040752386,0.3102695939,LC,140,4.42,Actinopteri,demersal,Merlucciidae,habitat_deep,2487500,2
Merluccius polli,NA,NA,NA,13025.879475191523,0.2342693256,LC,80,4.4820126516281515,Actinopteri,bathydemersal,Merlucciidae,habitat_deep,630000,2
Merluccius productus,NA,NA,NA,7061680.777931809,0.1201033701,LC,91,4.35,Actinopteri,pelagic-neritic,Merlucciidae,migratory,960000,3
Merluccius senegalensis,NA,NA,NA,301939.40710524854,0.1963140637,EN,81,4.4820126516281515,Actinopteri,demersal,Merlucciidae,migratory,47500,3
Meuschenia scaber,NA,NA,NA,1370.926442519599,1.031915321,LC,31,3.11,Actinopteri,demersal,Monacanthidae,habitat_coastal,1115000,2
Microgadus tomcod,NA,NA,NA,1410.1314898164871,0.4610775695,LC,38.099998474121094,3.8374887269697626,Actinopteri,demersal,Gadidae,habitat_coastal,632500,2
Micromesistius australis,NA,NA,NA,1601295.2031662434,0.1388349087,NA,90,3.398465184086512,Actinopteri,benthopelagic,Gadidae,migratory,1522500,3
Micromesistius poutassou,NA,NA,NA,2238132.13949822,0.2649568984,NA,55.5,4.13,Actinopteri,bathypelagic,Gadidae,migratory,11370000,3
Micropogonias furnieri,NA,NA,NA,227203.51952617016,0.5413105935,LC,60,3.09,Actinopteri,demersal,Sciaenidae,habitat_coastal,2195000,2
Micropogonias undulatus,NA,NA,NA,44582.670973201086,0.8737827759,LC,55,4.014966329411927,Actinopteri,demersal,Sciaenidae,habitat_coastal,2317500,2
Microstomus kitt,NA,NA,NA,286647.362142445,0.1210552497,NA,65,3.277033140310294,Actinopteri,demersal,Pleuronectidae,habitat_benthic,1532500,2
Microstomus pacificus,NA,NA,NA,565172.0037061118,0.08952898292,NA,76,3.22,Actinopteri,demersal,Pleuronectidae,habitat_benthic,1172500,2
Miichthys miiuy,NA,NA,NA,254347.1253664004,0.5621381244,NA,70,3.5479200071957036,Actinopteri,demersal,Sciaenidae,habitat_coastal,870000,2
Molva dypterygia,NA,NA,NA,190950.5941610283,0.1223609704,NA,155,4.49,Actinopteri,demersal,Lotidae,habitat_benthic,2642500,2
Molva molva,NA,NA,NA,1109512.4349048606,0.1116470263,NA,200,4.4,Actinopteri,demersal,Lotidae,habitat_benthic,1615000,2
Monotaxis grandoculis,NA,NA,NA,113.77294246688996,0.5514843744,LC,60,3.37,Actinopteri,reef-associated,Lethrinidae,habitat_reef,11135000,2
Mora moro,NA,NA,NA,10677.459050925541,0.1464674313,LC,80,3.7814431683038157,Actinopteri,bathypelagic,Moridae,deep,56435000,3
Mugil cephalus,NA,NA,NA,609274.3720338052,0.2772578985,LC,100,2.5951455098746075,Actinopteri,benthopelagic,Mugilidae,habitat_coastal,15862500,2
Mugil curema,NA,NA,NA,5777.702193166262,0.5197554148,LC,91,2.01,Actinopteri,reef-associated,Mugilidae,habitat_coastal,5337500,2
Mugil liza,NA,NA,NA,12098.991191203797,0.477722143,DD,80,2.146781040547033,Actinopteri,demersal,Mugilidae,migratory,2622500,3
Mullus argentinae,NA,NA,NA,600.9696229968476,0.7768645571,NA,30,3.5012153749740813,Actinopteri,demersal,Mullidae,habitat_benthic,310000,2
Mullus barbatus,NA,NA,NA,3400.6033922456145,0.68,NA,38.20000076293945,3.14,Actinopteri,demersal,Mullidae,habitat_benthic,727500,2
Mullus surmuletus,NA,NA,NA,17341.664032193712,0.6560872693,LC,40,3.45,Actinopteri,demersal,Mullidae,habitat_benthic,2882500,2
Muraena helena,NA,NA,NA,308.7145556117561,0.1894176965,LC,150,4.183103005409768,Actinopteri,reef-associated,Muraenidae,territorial,2262500,1
Muraenesox cinereus,NA,NA,NA,4874752.990185187,0.4092293866,NA,220,4.369921534296258,Actinopteri,demersal,Muraenesocidae,sedentary,6977500,1
Mustelus antarcticus,NA,NA,NA,82313.47680676951,0.09002015572,LC,157,4.435308019406529,Elasmobranchii,demersal,Triakidae,migratory,1092500,3
Mustelus asterias,NA,NA,NA,676.0675710971632,0.1329334579,LC,140,3.62,Elasmobranchii,demersal,Triakidae,habitat_coastal,2710000,2
Mustelus lenticulatus,NA,NA,NA,67720.43334417992,0.1007425922,LC,125,3.51,Elasmobranchii,demersal,Triakidae,migratory,837500,3
Mustelus mustelus,NA,NA,NA,20614.718132901664,0.1318871295,VU,200,4.26,Elasmobranchii,demersal,Triakidae,habitat_coastal,3642500,2
Mustelus schmitti,NA,NA,NA,218155.97651576932,0.1474965413,EN,92,3.59,Elasmobranchii,demersal,Triakidae,habitat_coastal,242500,2
Mycteroperca phenax,NA,NA,NA,154.06613087272257,0.2155957303,DD,107,4.47,Actinopteri,reef-associated,Serranidae,habitat_reef,1627500,2
Naucrates ductor,NA,NA,NA,67.96813996069108,1.064734154,LC,70,3.4638516691967838,Actinopteri,reef-associated,Carangidae,pelagic,23690000,3
Nemadactylus bergi,NA,NA,NA,79880.58309410182,0.189455252,NA,39.47999954223633,3.24,Actinopteri,demersal,Latridae,habitat_benthic,1332500,2
Nemadactylus macropterus,NA,NA,NA,17171.7053536467,0.1073001562,NA,70,3.4638516691967838,Actinopteri,demersal,Latridae,habitat_coastal,1212500,2
Nematalosa nasus,NA,NA,NA,1490.2736895401838,1.124180083,LC,25.5,2.342940495877847,Actinopteri,pelagic-neritic,Clupeidae,habitat_coastal,3562500,2
Nemipterus japonicus,NA,NA,NA,31278.90158085718,1.261848147,NA,32,4.127057446743821,Actinopteri,demersal,Nemipteridae,habitat_benthic,7565000,2
Nemipterus virgatus,NA,NA,NA,22906.758694145225,0.9571447577,VU,35,4.0056254029676035,Actinopteri,demersal,Nemipteridae,habitat_benthic,5732500,2
Normanichthys crockeri,NA,NA,NA,260047.47537172944,0.4594781927,NA,11,2.847350523871368,Actinopteri,demersal,Normanichthyidae,habitat_coastal,267500,2
Oblada melanura,NA,NA,NA,6862.353237887897,0.4308825118,LC,36.599998474121094,3.43582888986381,Actinopteri,benthopelagic,Sparidae,habitat_reef,1805000,2
Odontesthes regia,NA,NA,NA,5044.4877614157285,0.6455902272,LC,18.299999237060547,4.014966329411927,Actinopteri,pelagic-neritic,Atherinopsidae,habitat_coastal,352500,2
Oncorhynchus gorbuscha,NA,NA,NA,5986072.753663547,0.4915202212,NA,76,4.49,Actinopteri,demersal,Salmonidae,migratory,3357500,3
Oncorhynchus keta,NA,NA,NA,1232214.4678815864,0.3322358848,NA,100,3.74,Actinopteri,benthopelagic,Salmonidae,migratory,2395000,3
Oncorhynchus kisutch,NA,NA,NA,180864.23201604743,0.52822829,NA,107.94999694824219,4.183103005409768,Actinopteri,pelagic,Salmonidae,migratory,2657500,3
Oncorhynchus masou,NA,NA,NA,11650.483606557376,0.488,NA,79,3.6413292716389485,Actinopteri,benthopelagic,Salmonidae,migratory,1050000,3
Oncorhynchus nerka,NA,NA,NA,1750038.607698542,0.3433421442,LC,84,3.54,Actinopteri,pelagic-oceanic,Salmonidae,migratory,1905000,3
Oncorhynchus tshawytscha,NA,NA,NA,78870.36652399682,0.4915202212,NA,150,4.4,Actinopteri,benthopelagic,Salmonidae,migratory,2962500,3
Opisthonema libertate,NA,NA,NA,579556.2461301138,0.7010942712,LC,30,2.978123494091911,Actinopteri,pelagic-neritic,Clupeidae,habitat_coastal,520000,2
Opisthonema oglinum,NA,NA,NA,38353.45049008253,1.026959074,LC,38,4.5,Actinopteri,reef-associated,Clupeidae,habitat_coastal,2765000,2
Orcynopsis unicolor,NA,NA,NA,3446.1579200096567,0.5965182234,LC,130,4.4820126516281515,Actinopteri,pelagic-neritic,Scombridae,hms,2472500,3
Osmerus eperlanus,NA,NA,NA,203386.20593453397,0.09454782792,LC,45,3.5105563370512125,Actinopteri,pelagic-neritic,Osmeridae,habitat_coastal,1180000,2
Osmerus mordax,NA,NA,NA,48591.98410305448,0.08775513243,NA,35.599998474121094,3,Actinopteri,pelagic-oceanic,Osmeridae,habitat_coastal,6640000,2
Otolithes ruber,NA,NA,NA,75651.61393967202,0.865438668,NA,90,3.6,Actinopteri,benthopelagic,Sciaenidae,habitat_coastal,8637500,2
Oxynotus centrina,NA,NA,NA,870.9097820882772,0.1295059515,VU,150,3.06,Elasmobranchii,bathydemersal,Oxynotidae,habitat_benthic,2822500,2
Pagellus acarne,NA,NA,NA,12714.685683513933,0.4782227537,LC,36,3.81,Actinopteri,benthopelagic,Sparidae,habitat_reef,2185000,2
Pagellus bellottii,NA,NA,NA,22277.507524003337,0.6779671372,LC,42,3.6413292716389485,Actinopteri,demersal,Sparidae,habitat_reef,717500,2
Pagellus bogaraveo,NA,NA,NA,14240.124728955876,0.3179967933,NT,70,4.21,Actinopteri,benthopelagic,Sparidae,habitat_reef,2387500,2
Pagellus erythrinus,NA,NA,NA,19205.769084466792,0.4673104191,LC,60,3.48,Actinopteri,benthopelagic,Sparidae,habitat_reef,2127500,2
Pagrus major,NA,NA,NA,27715.417406655444,0.3888317409,LC,100,4.46,Actinopteri,demersal,Sparidae,habitat_reef,1235000,2
Pampus argenteus,NA,NA,NA,220639.92650773033,0.6662192937,NA,60,3.3,Actinopteri,benthopelagic,Stromateidae,habitat_coastal,7610000,2
Paralabrax humeralis,NA,NA,NA,36474.703729053705,0.2749893755,DD,54.5,4.12,Actinopteri,benthopelagic,Serranidae,habitat_benthic,862500,2
Paralichthys californicus,NA,NA,NA,215.86776109267043,0.6863461188,LC,152,4.4820126516281515,Actinopteri,demersal,Paralichthyidae,habitat_benthic,375000,2
Paralichthys dentatus,NA,NA,NA,19381.14190323905,1.335834603,LC,94,4.49,Actinopteri,demersal,Paralichthyidae,habitat_benthic,360000,2
Paralonchurus peruanus,NA,NA,NA,21622.185476739014,0.6246151211,LC,51,2.17,Actinopteri,demersal,Sciaenidae,habitat_coastal,150000,2
Parapercis colias,NA,NA,NA,11421.445123492516,0.4470646179,LC,45,3.89,Actinopteri,demersal,Pinguipedidae,habitat_coastal,465000,1
Parastromateus niger,NA,NA,NA,170627.18396386117,1.069770735,LC,75,3.0154872622266202,Actinopteri,reef-associated,Carangidae,habitat_coastal,11080000,2
Paristiopterus labiosus,NA,NA,NA,55.24076795543271,0.5663208742,NA,100,3.33,Actinopteri,demersal,Pentacerotidae,habitat_benthic,827500,2
Parona signata,NA,NA,NA,3739.2762214719623,0.934625792,NA,60,3.454510742752459,Actinopteri,demersal,Carangidae,habitat_coastal,365000,2
Patagonotothen ramsayi,NA,NA,NA,443616.74558890925,0.4714203557,NA,44,3.5385790807513793,Actinopteri,benthopelagic,Nototheniidae,deep,1027500,3
Pegusa lascaris,NA,NA,NA,4141.827963790647,0.191168732,LC,40,3.29,Actinopteri,demersal,Soleidae,habitat_benthic,2572500,2
Pelates quadrilineatus,NA,NA,NA,25.39081751876023,0.8141525961,NA,30,3.59,Actinopteri,reef-associated,Terapontidae,habitat_coastal,10432500,2
Pennahia anea,NA,NA,NA,22525.35337489607,1.31363675,NA,30,4.0056254029676035,Actinopteri,demersal,Sciaenidae,habitat_coastal,4990000,2
Pennahia argentata,NA,NA,NA,27970.055077192308,0.804667561,NA,40,4.06,Actinopteri,benthopelagic,Sciaenidae,habitat_coastal,1032500,2
Pentaceros richardsoni,NA,NA,NA,854.338000313279,0.392870269,NA,56,3.5479200071957036,Actinopteri,pelagic-oceanic,Pentacerotidae,habitat_benthic,3077500,2
Pentanemus quinquarius,NA,NA,NA,16110.929309359151,0.6870123869,VU,35,3.6039655658616505,Actinopteri,demersal,Polynemidae,habitat_coastal,650000,2
Peprilus paru,NA,NA,NA,1395.855099114178,0.9114069224,LC,30,4.5,Actinopteri,benthopelagic,Stromateidae,habitat_coastal,2995000,2
Peprilus triacanthus,NA,NA,NA,108500.42933587686,0.7003364177,NA,30,3.91,Actinopteri,benthopelagic,Stromateidae,pelagic,1105000,3
Percophis brasiliensis,NA,NA,NA,71909.8755296277,0.2577946334,NA,53.29999923706055,4.173762078965444,Actinopteri,demersal,Percophidae,habitat_coastal,1072500,2
Petromyzon marinus,NA,NA,NA,416.34532768693686,0.2916809483,LC,120,4.360580500953514,Petromyzonti,demersal,Petromyzontidae,migratory,2705000,3
Petrus rupestris,NA,NA,NA,86.4518477229189,0.257114227,EN,200,4.4820126516281515,Actinopteri,demersal,Sparidae,migratory,70000,3
Phycis blennoides,NA,NA,NA,10835.792767223105,0.3973796927,NA,110,3.6973748303048954,Actinopteri,benthopelagic,Phycidae,migratory,3255000,3
Phycis phycis,NA,NA,NA,9656.663803121824,0.5122410908,LC,65,4.25,Actinopteri,benthopelagic,Phycidae,habitat_benthic,1815000,2
Plagiogeneion rubiginosum,NA,NA,NA,3246.2260320436303,0.4673229729,NA,60,3.454510742752459,Actinopteri,bathydemersal,Emmelichthyidae,deep,1440000,3
Platichthys flesus,NA,NA,NA,148911.2792035922,0.3401482834,LC,60,3.32,Actinopteri,demersal,Pleuronectidae,habitat_benthic,1830000,2
Platichthys stellatus,NA,NA,NA,6321.604415181406,0.256053141,LC,91,3.58,Actinopteri,demersal,Pleuronectidae,habitat_benthic,3655000,2
Platycephalus indicus,NA,NA,NA,56660.62260416675,0.4787213898,DD,100,3.6,Actinopteri,reef-associated,Platycephalidae,habitat_benthic,11915000,2
Plectorhinchus gaterinus,NA,NA,NA,674.6529053619145,0.4471099103,NA,50,4.0056254029676035,Actinopteri,reef-associated,Haemulidae,habitat_reef,2390000,2
Plectorhinchus mediterraneus,NA,NA,NA,1699.85912557701,0.2945702926,DD,80,3.5385790807513793,Actinopteri,demersal,Haemulidae,habitat_benthic,890000,2
Plectorhinchus pictus,NA,NA,NA,47.91353679765915,0.2886031991,NA,83,3.85,Actinopteri,reef-associated,Haemulidae,habitat_reef,12412500,2
Plectorhinchus schotaf,NA,NA,NA,420.80928126544364,0.4471099103,NA,80,3.6333333333333333,Actinopteri,reef-associated,Haemulidae,habitat_reef,10495000,2
Plectorhinchus sordidus,NA,NA,NA,81.9268712247662,0.5496609272,NA,60,4.0056254029676035,Actinopteri,reef-associated,Haemulidae,habitat_reef,1287500,2
Plectropomus pessuliferus,NA,NA,NA,1961.3402253988886,0.3217269456,LC,120,4.42,Actinopteri,reef-associated,Serranidae,habitat_reef,8977500,2
Pleurogrammus azonus,NA,NA,NA,3626343.2344661253,0.1595335032,NA,62,3.38,Actinopteri,demersal,Hexagrammidae,habitat_benthic,667500,2
Pleurogrammus monopterygius,NA,NA,NA,2009760.4085666134,0.07660103928,NA,56.5,3.38,Actinopteri,demersal,Hexagrammidae,habitat_coastal,1715000,2
Pleuronectes platessa,NA,NA,NA,184703.56240926232,0.2596898428,LC,100,3.17,Actinopteri,demersal,Pleuronectidae,migratory,1712500,3
Pleuronectes quadrituberculatus,NA,NA,NA,798334.9775283013,0.120334472,NA,87,3.59,Actinopteri,bathydemersal,Pleuronectidae,habitat_benthic,2015000,2
Pogonias cromis,NA,NA,NA,52814.07432827447,0.1865247498,LC,170,3.38,Actinopteri,demersal,Sciaenidae,habitat_coastal,1915000,2
Polydactylus quadrifilis,NA,NA,NA,167966.20739257033,0.5641203994,LC,200,4.024307255856252,Actinopteri,demersal,Polynemidae,habitat_coastal,507500,2
Polyprion americanus,NA,NA,NA,19181.41426081243,0.09706333301,DD,210,4.14573929963247,Actinopteri,demersal,Polyprionidae,habitat_benthic,7452500,2
Pomacanthus maculosus,NA,NA,NA,1194.6204013424224,0.2045469839,LC,50,2.7726231123167726,Actinopteri,reef-associated,Pomacanthidae,habitat_reef,1652500,2
Pomadasys argenteus,NA,NA,NA,7362.777275593805,0.8058779694,LC,70,3.47,Actinopteri,demersal,Haemulidae,habitat_coastal,10752500,2
Pomadasys jubelini,NA,NA,NA,9092.60281515809,0.7534080328,LC,60,3.389124257642188,Actinopteri,demersal,Haemulidae,habitat_coastal,640000,2
Pomadasys kaakan,NA,NA,NA,103598.77189749113,0.6269470459,NA,80,3.5105563014184056,Actinopteri,reef-associated,Haemulidae,habitat_coastal,10845000,2
Pomadasys stridens,NA,NA,NA,1056.7933503286079,0.7789715934,NA,20,4.033648182300576,Actinopteri,reef-associated,Haemulidae,habitat_coastal,2142500,2
Pomatomus saltatrix,NA,NA,NA,125269.23753581518,0.5247091089,VU,130,4.53,Actinopteri,pelagic-oceanic,Pomatomidae,migratory,137852500,3
Pontinus kuhlii,NA,NA,NA,1536.7583481254387,0.2817801514,DD,52,4.06167096163355,Actinopteri,bathydemersal,Scorpaenidae,habitat_deep,1472500,2
Priacanthus macracanthus,NA,NA,NA,38524.314613421375,0.9007485363,LC,30,4.117716520299497,Actinopteri,reef-associated,Priacanthidae,habitat_reef,9322500,2
Prionace glauca,NA,NA,NA,336291.19169617037,0.05518436539,NT,400,4.35,Elasmobranchii,pelagic-oceanic,Carcharhinidae,hms,183387500,3
Promethichthys prometheus,NA,NA,NA,204.27028242827558,0.2825667998,LC,100,4.183103005409768,Actinopteri,benthopelagic,Gempylidae,habitat_deep,16325000,2
Psenopsis anomala,NA,NA,NA,43667.439934094335,0.7020699186,LC,30,4.014966329411927,Actinopteri,benthopelagic,Centrolophidae,habitat_coastal,1332500,2
Psettichthys melanostictus,NA,NA,NA,363.8121530083963,0.3060590447,NA,63,4.071011888077874,Actinopteri,demersal,Pleuronectidae,habitat_benthic,1187500,2
Psettodes erumei,NA,NA,NA,81476.74489680654,0.8550804047,NA,64,4.39,Actinopteri,demersal,Psettodidae,habitat_benthic,3950000,2
Pseudocyttus maculatus,NA,NA,NA,45282.659272372235,0.1098838058,DD,68,3.6786929774162465,Actinopteri,bathydemersal,Oreosomatidae,habitat_deep,2850000,2
Pseudopercis semifasciata,NA,NA,NA,14767.713107058687,0.636895363,NA,100,3.9028752120800334,Actinopteri,demersal,Pinguipedidae,habitat_benthic,700000,2
Pseudophycis bachus,NA,NA,NA,135606.8150240562,0.2014825287,NA,90,3.93,Actinopteri,demersal,Moridae,habitat_benthic,1075000,2
Pseudopleuronectes americanus,NA,NA,NA,48209.724205089755,0.3072234958,NA,64,3.62,Actinopteri,demersal,Pleuronectidae,habitat_benthic,760000,2
Pseudopleuronectes herzensteini,NA,NA,NA,114429.61264918499,0.483128298,NA,50,3.465,Actinopteri,demersal,Pleuronectidae,habitat_benthic,427500,2
Pseudotolithus elongatus,NA,NA,NA,144262.61312412022,0.2628005079,LC,47,4.071011888077874,Actinopteri,demersal,Sciaenidae,habitat_coastal,320000,2
Pseudotolithus senegalensis,NA,NA,NA,34442.69003109382,0.4770746996,EN,114,3.8188068740811136,Actinopteri,demersal,Sciaenidae,habitat_coastal,542500,2
Pseudotolithus senegallus,NA,NA,NA,8299.897352262822,0.4538957339,VU,230,3.912216138524358,Actinopteri,demersal,Sciaenidae,habitat_coastal,590000,2
Pseudupeneus prayensis,NA,NA,NA,12069.899798285072,0.8972458911,VU,55,3.3050559196432676,Actinopteri,demersal,Mullidae,habitat_benthic,652500,2
Pterogymnus laniarius,NA,NA,NA,11543.006861008736,0.38424962,LC,45,3.6319883451946238,Actinopteri,benthopelagic,Sparidae,habitat_reef,180000,2
Pteroscion peli,NA,NA,NA,7736.777155649939,0.6246151211,LC,32,3.6039655658616505,Actinopteri,benthopelagic,Sciaenidae,habitat_benthic,585000,2
Rachycentron canadum,NA,NA,NA,58777.77515269999,0.4438852599,LC,200,3.96,Actinopteri,reef-associated,Rachycentridae,hms,15987500,3
Raja clavata,NA,NA,NA,46920.39470601548,0.06570106708,NT,105,3.84,Elasmobranchii,demersal,Rajidae,habitat_benthic,3877500,2
Rastrelliger brachysoma,NA,NA,NA,924370.2657284398,1.171892667,DD,34.5,2.819327744538395,Actinopteri,pelagic-neritic,Scombridae,pelagic,8362500,3
Reinhardtius hippoglossoides,NA,NA,NA,307787.8214796407,0.1715916363,NA,110,4.38,Actinopteri,benthopelagic,Pleuronectidae,habitat_benthic,4170000,2
Rexea solandri,NA,NA,NA,17719.106378729786,0.2349130506,NA,110,4.304535049185986,Actinopteri,benthopelagic,Gempylidae,migratory,1292500,2
Rhabdosargus globiceps,NA,NA,NA,452.49673040557786,0.4411788784,VU,65,3.04,Actinopteri,benthopelagic,Sparidae,habitat_reef,235000,2
Rhabdosargus haffara,NA,NA,NA,9449.676743839,0.5607645789,LC,35,3.5479200071957036,Actinopteri,reef-associated,Sparidae,habitat_reef,992500,2
Rhomboplites aurorubens,NA,NA,NA,22238.145689142457,0.3927965093,VU,60,4.36,Actinopteri,demersal,Lutjanidae,habitat_reef,3140000,2
Rhynchobatus australiae,NA,NA,NA,20942.807355574565,0.2048109371,VU,124,3.5852837129730015,Elasmobranchii,demersal,Rhinidae,habitat_benthic,7867500,2
Rhynchobatus djiddensis,NA,NA,NA,834.7991685449888,0.2048109371,VU,310,3.6,Elasmobranchii,reef-associated,Rhinidae,habitat_benthic,2387500,2
Ruvettus pretiosus,NA,NA,NA,59440.9621761442,0.4159568603,LC,300,4.183103005409768,Actinopteri,benthopelagic,Gempylidae,migratory,13672500,3
Salilota australis,NA,NA,NA,96078.23776901417,0.246865935,NA,50,4.41,Actinopteri,demersal,Moridae,deep,1077500,3
